code;description
41100000;Laboratory and scientific equipment
41110000;Measuring and observing and testing instruments
42130000;Medical and laboratory consumables and supplies
12160000;Laboratory chemicals and reagents
41104000;Laboratory refrigerators and freezers and cryogenic storage
56100000;Office and cubicle furniture and accessories
44100000;Office machines and their supplies
14110000;Paper products and stationery
43210000;Computer equipment and accessories
43211500;Computers and notebooks and tablets
43211900;Computer displays and monitors
43220000;Data voice and network communications equipment
43230000;Software and software licensing
72100000;Building maintenance and repair services
47130000;Cleaning and janitorial supplies
80100000;Management and business professional consulting services
78100000;Transportation and freight and logistics services
46180000;Personal safety and protective equipment
