ID;name;rating
1000001;Zeiss Instruments GmbH;4.6
1000002;Fisher Scientific;4.3
1000003;Dell Technologies;4.5
1000004;Leica Microsystems;4.7
1000005;Eppendorf SE;4.4
1000006;Sigma-Aldrich Chemie;4.2
1000007;VWR International;4.0
1000008;Thermo Fisher Scientific;4.5
1000009;Lenovo Deutschland;4.2
1000010;HP Inc. Europe;4.1
1000011;Cisco Systems;4.4
1000012;Steelcase Werndl AG;4.3
1000013;Herman Miller Europe;4.5
1000014;Lyreco Deutschland;3.9
1000015;RS Components;4.0
1000016;Wuerth Industrie Service;4.1
1000017;DHL Supply Chain;4.2
1000018;Kuehne + Nagel;4.3
1000019;Accenture Consulting;4.0
1000020;3M Safety Solutions;4.6
